ID,Date,Time,TTC,LogTTC,Contamination,TLF,Type,Repeat,x,y,PopDensity,Nitrates,Phosphates,Conductivity,pH,Temperature,Salinity,Turbidity,FC,LogFC,CDOM,Sanitation,SepticTank,SoakPit,Latrines,Cattle,Trash,Cultivation,Construction,Road,Petrol station,Drainage channel,Fence,Apron area,Pump insanitary,CracksLoose,TotalRisk,DistanceToCemetery,DistanceToFarm,DistanceToIndustry,DistanceToLandfill,DistanceToRoads,GCNOM_1,TLFuncalibrated,PopDensity,superficie
59,26/06/2018,14:30,380,2.5798,1,4.311,3,0,270557.99,1640775.23,2.04,24.8,0.12,776,8.82,29.4,0.38,19.4,NA,NA,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1680.5565,497.075,5340.9257,17539.9763,6.3697,Thies,2.458,2.04,1597
60,26/06/2018,15:00,320,2.5052,1,6.835,3,0,271824.83,1640677.3,2.04,163.06,0.03,235,8.84,29.3,0.1,35.2,NA,NA,12.37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,410.1866,1488.5084,6457.9902,18339.2218,59.2198,Thies,4.879,2.04,1597
61,26/06/2018,16:30,320,2.5052,1,7.171,3,0,257203,1638571.89,2.04,130.82,8.67,770,8.53,28.6,0.58,31.4,59222,4.77248307,9.12,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,4,3404.19,246.7216,4297.4493,5592.6282,12.3346,Sanghalkm,5.202,2.04,40000
62,27/06/2018,09:30,35,1.5441,1,72.379,3,0,257326.49,1632464.77,2.04,80.6,0.21,2240,9.62,28,1.14,10.2,694783,5.841849184,179.01,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,3,152.2152,1086.8957,2403.5804,4865.1289,21.1739,Sanghalkm,67.755,2.04,40000
63,27/06/2018,10:30,1,0,0,12.255,1,0,268781.14,1640627.42,2.04,31.62,0.67,667,8.14,27.7,0.32,20.3,NA,NA,6.13,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,908.8816,519.3923,3749.1913,16291.6059,30.5551,Sanghalkm,10.079,2.04,40000
64,27/06/2018,11:40,1,0,0,7.794,3,0,259717.58,1636833.82,2.04,21.7,0.14,1291,9.72,28,0.64,31.2,NA,NA,13.76,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1572.9751,91.8123,1782.0983,8169.1768,100.273,Sanghalkm,5.799,2.04,40000
65,27/06/2018,13:00,1380,3.1399,1,4.424,3,0,262715.42,1640637.18,2.04,22.32,0.53,10136,8.4,31,5.75,6.4,102029,5.00872363,5.61,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,685.5248,444.8738,797.26,11366.6744,16.2658,Sanghalkm,2.567,2.04,40000
66,27/06/2018,14:30,295,2.4698,1,6.128,3,0,261439.26,1639884.62,2.04,114.08,0.12,788,9.25,29.26,0.39,6.4,NA,NA,6.41,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,4,838.5014,398.3033,1142.6637,9966.4942,14.5832,Sanghalkm,4.201,2.04,40000
67,27/06/2018,15:30,13100,4.1173,1,22.126,3,0,262677,1640471,2.04,23.56,0.32,3920,9.43,28.8,2.07,18,744660,5.871958026,174.07,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,649.2677,308.8226,638.7157,11293.6679,19.3642,Sanghalkm,19.548,2.04,40000
68,28/06/2018,08:30,5800,3.7634,1,8.652,3,0,254101.95,1637748.34,2.04,50.84,5.06,723,9.77,28,0.35,25.6,NA,NA,20.14,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,5,2686.1828,1179.9979,4538.4547,2496.3716,6.5664,Sanghalkm,6.622,2.04,40000
