ID,Date,Time,TTC,LogTTC,Contamination,TLF,Type,Repeat,x,y,PopDensity,Nitrates,Sulfates,Conductivity,pH,Temperature,Salinity,Turbidity,FC,LogFC,CDOM,Sanitation,SepticTank,SoakPit,Latrines,Cattle,Trash,Cultivation,Construction,Road,Petrol station,Drainage channel,Fence,Apron area,Pump insanitary,CracksLoose,TotalRisk,DistanceToCemetery,DistanceToFarm,DistanceToIndustry,DistanceToLandfill,DistanceToRoads,GCNOM_1,TLFuncalibrated,PopDensity,superficie
86,29/06/2018,14:00,70,1.8451,1,34.607,2,0,244971.01,1633984.23,537.14,390.6,0.03,1890,7.6,28.5,0.96,32.9,176397,5.246491195,99.54,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3,296.6176,994.2611,1488.8783,1453.5012,8.3466,Yeumbeul Sud,31.521,537.14,200
87,29/06/2018,14:30,13700,4.1367,1,62.309,2,0,242519.38,1634153.33,233.51,117.18,0.16,2810,8.9,27.2,1.46,19.5,273285,5.436615795,145,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,4,1333.4451,698.5832,1464.6719,355.9217,19.664,Djidah Thiaroye Kaw,58.095,233.51,200
88,29/06/2018,15:00,22700,4.3560,1,43.543,3,0,244101,1634117,233.51,4.34,0.36,2380,9,28.8,1.22,16.5,277405,5.443114285,44.72,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4,792.7779,957.2037,974.374,601.9613,25.4164,Djidah Thiaroye Kaw,40.093,233.51,200
89,29/06/2018,15:30,5,0.6990,0,24.358,1,2,244129.27,1636215.27,213.69,114.08,7.05,2570,8.9,29.2,1.33,7.6,35728,4.553008706,40.82,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,8,2624.1124,3027.7177,3009.9389,493.1423,10.2589,Wakhinane Nimzatt,21.689,213.69,400
90,03/07/2018,11:00,610,2.7853,1,51.686,1,0,244551.27,1635073.52,213.69,303.18,0.83,2360,8.2,28.1,1.21,9.5,897652,5.953108003,125.6,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1437.1232,1886.1543,2031.5506,1444.6948,0.173,Wakhinane Nimzatt,47.905,213.69,400
91,03/07/2018,11:30,1,0.0000,0,53.863,2,16,242427.82,1634153.31,233.51,491.66,3.11,3170,8.1,28,1.65,13.3,365496,5.562882628,174.04,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,7,1409.726,607.0988,1535.768,433.889,2.8121,Djidah Thiaroye Kaw,49.993,233.51,200
92,03/07/2018,12:00,1,0.0000,0,15.424,2,17,242479.57,1634076.27,233.51,31.62,1.76,1144,8.8,28.9,0.56,5.7,179109,5.253117409,61.51,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,9,1325.1957,660.2098,1447.8702,431.963,2.2726,Djidah Thiaroye Kaw,13.119,233.51,200
93,03/07/2018,12:30,1,0.0000,0,38.403,2,18,243011.86,1633940.2,469.62,50.84,0.06,673,7.5,29.6,0.33,5.6,110940,5.045088162,124.3,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,4,813.8581,1198.5487,963.3523,430.1479,8.2432,Medina Gounass,35.162,469.62,100
94,03/07/2018,13:00,1210,3.0828,1,40.701,2,0,243016.18,1633939.64,469.62,NA,NA,955,8.4,29.38,0.47,6.5,262648,5.419374098,121.05,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,4,810.2747,1202.8749,960.1174,432.3726,12.6009,Medina Gounass,37.367,469.62,100
95,03/07/2018,13:30,1,0.0000,0,61.106,3,0,243553.68,1633422.91,233.51,NA,NA,1700,7.8,26.6,0.86,27.4,85239,4.930638346,127.8,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,5,68.5618,737.1492,221.0266,519.7563,0.6541,Djidah Thiaroye Kaw,56.941,233.51,200
96,03/07/2018,14:30,520,2.7160,1,35.045,3,0,248923.53,1630318.51,46.88,NA,NA,722,9.2,28.2,0.34,23,530894,5.725007817,163.95,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,225.6397,1560.4206,166.3417,6513.8697,17.6872,Mbao,31.941,46.88,2000
97,03/07/2018,15:00,1295,3.1123,1,12.358,3,0,251106.15,1630433.04,46.88,NA,NA,1490,8.5,28.6,0.74,8.6,73774,4.867903331,15,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1447.9219,543.9245,553.0377,6592.6941,9.8751,Mbao,10.178,46.88,2000
