ID,NAME_4,TLFuncalibrated,TTC,LogTTC,Contamination,TLF,Type,Rain,x,y,PopDensity,Conductivity,pH,Temperature,Salinity,Turbidity,FC,CDOM,DistanceToCemetery,DistanceToFarm,DistanceToIndustry,DistanceToLandfill,DistanceToRoads,Sanitation,SepticTank,SoakPit,Latrines,Cattle,Trash,Cultivation,Construction,Road,Petrol station,Drainage channel,Fence,Apron area,Pump insanitary,CracksLoose,TotalRisk,TLF_filtered,CDOM_filtered,DOC,Nitrates,Phosphates,Repeat,Date,Time
HP42,Yeumbeul Sud,31.521,70,1.845098,1,34.60719,2,1,244971.01,1633984.23,537.14,1890,7.6,28.5,0.96,32.9,176397,99.54,296.6176,994.2611,1488.8783,1453.5012,8.3466,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3,NA,NA,NA,390.6,0.03,No,29/06/2018,14:00
HP43,Djidah Thiaroye Kao,58.095,13700,4.136721,1,62.30891,2,1,242519.38,1634153.33,233.51,2810,8.9,27.2,1.46,19.5,273285,145,1333.4451,698.5832,1464.6719,355.9217,19.664,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,4,NA,NA,NA,117.18,0.16,No,29/06/2018,14:30
D26,Djidah Thiaroye Kao,40.093,22700,4.356026,1,43.54296,3,1,244101,1634117,233.51,2380,9,28.8,1.22,16.5,277405,44.72,792.7779,957.2037,974.374,601.9613,25.4164,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4,NA,NA,NA,4.34,0.36,No,29/06/2018,15:00
P2,Wakhinane Nimzatt,21.689,5,0.69897,0,24.35795,1,1,244129.27,1636215.27,213.69,2570,8.9,29.2,1.33,7.6,35728,40.82,2624.1124,3027.7177,3009.9389,493.1423,10.2589,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,8,NA,NA,NA,114.08,7.05,Yes,29/06/2018,15:30
P9,Wakhinane Nimzatt,47.905,610,2.78533,1,51.68648,1,1,244551.27,1635073.52,213.69,2360,8.2,28.1,1.21,9.5,897652,125.6,1437.1232,1886.1543,2031.5506,1444.6948,0.173,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,NA,NA,NA,303.18,0.83,No,03/07/2018,11:00
HP7,Djidah Thiaroye Kao,49.993,1,0,0,53.86308,2,1,242427.82,1634153.31,233.51,3170,8.1,28,1.65,13.3,365496,174.04,1409.726,607.0988,1535.768,433.889,2.8121,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,7,NA,NA,NA,491.66,3.11,Yes,03/07/2018,11:30
HP8,Djidah Thiaroye Kao,13.119,1,0,0,15.42426,2,1,242479.57,1634076.27,233.51,1144,8.8,28.9,0.56,5.7,179109,61.51,1325.1957,660.2098,1447.8702,431.963,2.2726,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,9,NA,NA,NA,31.62,1.76,Yes,03/07/2018,12:00
HP9,Medina Gounass,35.162,1,0,0,38.4027,2,1,243011.86,1633940.2,469.62,673,7.5,29.6,0.33,5.6,110940,124.3,813.8581,1198.5487,963.3523,430.1479,8.2432,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,4,NA,NA,NA,50.84,0.06,Yes,03/07/2018,12:30
HP44,Medina Gounass,37.367,1210,3.082785,1,40.70128,2,1,243016.18,1633939.64,469.62,955,8.4,29.38,0.47,6.5,262648,121.05,810.2747,1202.8749,960.1174,432.3726,12.6009,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,4,NA,NA,NA,NA,NA,No,03/07/2018,13:00
D27,Djidah Thiaroye Kao,56.941,1,0,0,61.10594,3,1,243553.68,1633422.91,233.51,1700,7.8,26.6,0.86,27.4,85239,127.8,68.5618,737.1492,221.0266,519.7563,0.6541,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,5,NA,NA,NA,NA,NA,No,03/07/2018,13:30
D28,Mbao,31.941,520,2.716003,1,35.04501,3,1,248923.53,1630318.51,46.88,722,9.2,28.2,0.34,23,530894,163.95,225.6397,1560.4206,166.3417,6513.8697,17.6872,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,NA,NA,NA,NA,NA,No,03/07/2018,14:30
D29,Mbao,10.178,1295,3.11227,1,12.35846,3,1,251106.15,1630433.04,46.88,1490,8.5,28.6,0.74,8.6,73774,15,1447.9219,543.9245,553.0377,6592.6941,9.8751,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,No,03/07/2018,15:00
